{'13069': '0', '13070': '0', '13071': '0', '13072': '0', '13073': '2', '13074': '4', '13075': '4', '13076': '1', '13077': '1', '13078': '0', '13079': '11', '13080': '6', '13081': '13', '13082': '0', '13086': '7', '13345': '20', '13346': '14', '13347': '1', '13348': '9', '13350': '0', '13434': '5', '13435': '5', '13436': '5', '13437': '12', '13438': '0', '13444': '0', '13446': '1', '13454': '0', '13455': '0', '13456': '0', '13457': '0', '13458': '0', '13459': '0', '13460': '0', '13461': '0', '13462': '0', '13463': '0', '13464': '0', '13465': '0', '13466': '0', '13467': '0', '13470': '0', '13471': '0', '13472': '0', '13473': '0', '13478': '0'}
{'13069': '20200101', '13070': '20200101', '13071': '20200101', '13072': '20200101', '13073': '20200101', '13074': '20200101', '13075': '20200101', '13076': '20200101', '13077': '20200101', '13078': '20200101', '13079': '20200101', '13080': '20200101', '13081': '20200101', '13082': '20200101', '13086': '20200101', '13345': '20200101', '13346': '20200101', '13347': '20200101', '13348': '20200101', '13350': '20200101', '13434': '20200101', '13435': '20200101', '13436': '20200101', '13437': '20200101', '13438': '20200101', '13444': '20200101', '13446': '20200101', '13454': '20200101', '13455': '20200101', '13456': '20200101', '13457': '20200101', '13458': '20200101', '13459': '20200101', '13460': '20200101', '13461': '20200101', '13462': '20200101', '13463': '20200101', '13464': '20200101', '13465': '20200101', '13466': '20200101', '13467': '20200101', '13470': '20200101', '13471': '20200101', '13472': '20200101', '13473': '20200101', '13478': '20200101'}
20200313,1,1,4,0,6,9,35,9,23,0,68,29,27,0,18,105,37,37,42,0,12,19,17,5,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200314,0,1,1,0,1,0,6,0,2,0,13,12,3,0,9,11,6,7,11,0,5,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200315,0,0,0,0,0,2,3,0,1,0,10,5,3,0,4,13,7,2,7,0,5,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200316,1,2,0,0,6,3,24,3,9,0,37,19,21,0,29,70,27,14,54,0,37,29,8,37,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200317,2,0,5,0,14,7,12,7,14,0,61,32,34,0,34,121,64,34,56,0,36,38,23,39,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200318,0,0,5,0,12,8,30,5,10,0,49,27,33,0,26,56,36,12,47,0,20,28,16,28,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200319,1,0,4,1,4,6,23,8,20,0,50,35,35,0,30,70,40,33,62,0,37,22,19,34,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200320,1,0,3,1,14,14,28,18,18,0,45,34,24,0,32,121,69,19,35,0,35,26,12,35,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200321,0,0,1,0,1,1,5,0,1,0,30,14,7,0,7,43,33,5,20,0,11,6,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200322,1,0,0,0,0,1,2,1,0,0,13,5,3,0,1,23,20,2,11,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200323,1,0,4,1,1,14,17,7,15,0,33,17,23,0,20,90,56,17,44,0,30,30,21,24,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20200324,1,0,1,0,3,16,23,6,6,0,31,32,18,0,16,61,41,19,30,0,29,10,20,34,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200325,1,0,0,0,6,11,10,5,3,0,31,22,9,0,15,71,48,17,49,0,26,23,29,29,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200326,0,0,4,0,5,4,18,6,13,0,26,19,16,0,9,62,36,24,41,0,14,20,26,27,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
